city,district,keyword,地段位置或門牌,社區簡稱,總價(萬元),交易日期,單價 (萬元/坪),總面積 (坪),主建物 佔比(%),型態,屋齡,樓別/樓高,主要用途,交易標的,建物格局,車位總價 (萬元),管理組織,電梯,交易/歷次轉移,功能,備註,主建物坪數,陽台坪數,土地移轉面積,車位類別,車位價格,車位面積,所在樓層
台南市,仁德區,新東琚,仁德區保生路１０號四樓之２,新東琚,"1,416",112/08/29,31.67,47.04,59.16,,,四層/十五層,住家用,土1 建1車1,3房2廳2衛,164,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.39,2.84,5.51坪,坡道平面,"1,640,000元",7.51坪,地下二樓
台南市,仁德區,新東琚,仁德區保生路１０號十二樓之６,新東琚,"1,463",112/08/25,32.86,47.04,59.00,,,十二層/十五層,住家用,土1 建1車1,3房2廳2衛,164,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,讓渡日期113/11/06預售屋、或土地及建物分件登記案件;,23.32,2.9,5.51坪,坡道平面,"1,640,000元",7.51坪,地下二樓
台南市,仁德區,新東琚,仁德區保生路１０號十一樓之６,新東琚,"1,430",112/08/21,32.28,47.04,59.00,,,十一層/十五層,住家用,土1 建1車1,3房2廳2衛,154,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.32,2.9,5.51坪,坡道平面,"1,540,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路３６號四樓之２,新東琚,"1,100",112/08/11,32.26,36.52,62.44,,,四層/十五層,住家用,土1 建1車1,2房2廳2衛,164,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,18.12,1.11,4.01坪,坡道平面,"1,640,000元",7.51坪,地下二樓
台南市,仁德區,新東琚,仁德區保生路３８號十五樓之１,新東琚,"1,393",112/08/07,31.38,46.72,59.03,,,十五層/十五層,住家用,土1 建1車1,3房2廳2衛,152,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.34,2.9,5.51坪,坡道平面,"1,520,000元",7.18坪,地下二樓
台南市,仁德區,新東琚,仁德區保生路２２號四樓之１,新東琚,945,112/07/31,30.04,33.84,61.10,,,四層/十五層,住家用,土1 建1車1,2房2廳1衛,154,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.09,1.36,3.76坪,坡道平面,"1,540,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路２２號三樓之５,新東琚,"1,070",112/07/19,31.41,36.99,62.55,,,三層/十五層,住家用,土1 建1車1,2房2廳2衛,144,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,18.44,1.11,4.13坪,坡道平面,"1,440,000元",7.51坪,地下二樓
台南市,仁德區,新東琚,仁德區保生路３６號五樓之６,新東琚,960,112/07/19,31.06,33.51,61.10,,,五層/十五層,住家用,土1 建1車1,2房2廳1衛,142,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.09,1.36,3.76坪,坡道平面,"1,420,000元",7.18坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路１０號六樓之３,新東琚,"1,000",112/07/19,30.56,35.20,60.36,,,六層/十五層,住家用,土1 建1車1,2房2廳2衛,154,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,讓渡日期115/03/30預售屋、或土地及建物分件登記案件;,16.71,1.66,3.88坪,坡道平面,"1,540,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路３６號十一樓之６,新東琚,990,112/07/07,31.74,33.84,61.10,,,十一層/十五層,住家用,土1 建1車1,2房2廳1衛,154,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.09,1.36,3.76坪,坡道平面,"1,540,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路２２號四樓之６,新東琚,"1,054",112/06/30,29.5,38.01,61.05,,,四層/十五層,住家用,土1 建1車1,2房2廳2衛,154,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,18.62,1.62,4.26坪,坡道平面,"1,540,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路１０號二樓之６,新東琚,"1,158",112/06/30,29.3,39.53,59.00,,,二層/十五層,住家用,土1 建1車0,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.32,2.9,5.51坪,,,,
台南市,仁德區,新東琚,仁德區保生路３８號四樓之３,新東琚,"1,425",112/06/27,32.22,47.14,59.01,,,四層/十五層,住家用,土1 建1車1,3房2廳2衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.39,2.89,5.51坪,坡道平面,"1,480,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路３８號十一樓之１,新東琚,"1,400",112/06/20,31.51,47.06,59.03,,,十一層/十五層,住家用,土1 建1車1,3房2廳2衛,154,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.34,2.9,5.51坪,坡道平面,"1,540,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路１２號,新東琚,970,112/06/02,30.93,34.54,61.79,,,一層/十五層,住家用,土1 建1車1,2房2廳1衛,134,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,讓渡日期112/08/15預售屋、或土地及建物分件登記案件;,16.7,1.25,3.88坪,坡道平面,"1,340,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路２２號四樓之５,新東琚,"1,124",112/05/08,32.9,36.99,62.55,,,四層/十五層,住家用,土1 建1車1,2房2廳2衛,154,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,讓渡日期115/03/10預售屋、或土地及建物分件登記案件;,18.44,1.11,4.13坪,坡道平面,"1,540,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路２２號四樓之３,新東琚,740,111/12/27,34.25,21.60,61.65,,,四層/十五層,住家用,土1 建1車0,2房2廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,13.32,1.02,3.01坪,,,,
台南市,仁德區,新東琚,仁德區保生路３０號,新東琚,"1,142",111/12/19,33.62,36.48,62.54,,,一層/十五層,住家用,土1 建1車1,2房2廳2衛,168,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,18.12,1.11,4.13坪,坡道平面,"1,680,000元",7.51坪,地下一樓
台南市,仁德區,新東琚,仁德區保生路３２號,新東琚,"1,098",111/11/30,32.35,36.07,59.99,,,一層/十五層,住家用,土1 建1車1,2房2廳1衛,174,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,17.13,1.83,4.01坪,坡道平面,"1,740,000元",7.51坪,地下一樓
台南市,仁德區,新東琚,仁德區保生路１６號,新東琚,726,111/11/29,33.6,21.60,61.65,,,一層/十五層,住家用,土1 建1車0,2房2廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,13.32,1.02,3.13坪,,,,
台南市,仁德區,新東琚,仁德區保生路３８號五樓之１,新東琚,"1,560",111/11/04,35.27,47.44,59.02,,,五層/十五層,住家用,土1 建1車1,3房2廳2衛,165,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.34,2.9,5.51坪,坡道平面,"1,650,000元",7.89坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路８號,新東琚,"2,710",111/11/04,42.55,63.69,64.57,,,一層/十五層,住家用,土1 建1車0,,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,41.12,1.14,8.89坪,,,,
台南市,仁德區,新東琚,仁德區保生路２８號,新東琚,744,111/11/04,34.44,21.60,61.65,,,一層/十五層,住家用,土1 建1車0,2房2廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,13.32,1.02,3.13坪,,,,
台南市,仁德區,新東琚,仁德區保生路１８號,新東琚,"1,136",111/10/31,33.31,36.99,62.55,,,一層/十五層,住家用,土1 建1車1,2房2廳2衛,154,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,讓渡日期114/02/05預售屋、或土地及建物分件登記案件;,18.44,1.11,4.26坪,坡道平面,"1,540,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路１０號六樓之６,新東琚,"1,620",111/10/31,36.58,47.04,59.00,,,六層/十五層,住家用,土1 建1車1,3房2廳2衛,174,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.32,2.9,5.51坪,坡道平面,"1,740,000元",7.51坪,地下一樓
台南市,仁德區,新東琚,仁德區保生路３６號二樓之２,新東琚,"1,015",111/10/07,34.98,29.02,62.44,,,二層/十五層,住家用,土1 建1車0,2房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,讓渡日期113/11/06預售屋、或土地及建物分件登記案件;,18.12,1.11,4.01坪,,,,
台南市,仁德區,新東琚,仁德區保生路２２號二樓之１,新東琚,"1,030",111/10/07,33.49,33.84,61.10,,,二層/十五層,住家用,土1 建1車1,2房2廳1衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.09,1.36,3.76坪,坡道平面,"1,480,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路１０號十五樓之６,新東琚,"1,594",111/10/03,36.18,47.04,59.00,,,十五層/十五層,住家用,土1 建1車1,3房2廳2衛,164,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.32,2.9,5.51坪,坡道平面,"1,640,000元",7.51坪,地下二樓
