city,district,keyword,地段位置或門牌,社區簡稱,總價(萬元),交易日期,單價 (萬元/坪),總面積 (坪),主建物 佔比(%),型態,屋齡,樓別/樓高,主要用途,交易標的,建物格局,車位總價 (萬元),管理組織,電梯,交易/歷次轉移,功能,備註,主建物坪數,陽台坪數,土地移轉面積,車位類別,車位價格,車位面積,所在樓層
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號三樓之３,東都綠學,"1,547",112/05/13,31.47,54.73,65.88,,,三層/十四層,住家用,土1 建1車1,4房2廳2衛,132,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,29.63,1.43,8.20坪,坡道平面,"1,320,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段６號十三樓之２,東都綠學,989,111/11/14,32.68,35.04,65.24,,,十三層/十四層,住家用,土1 建1車1,2房2廳1衛,163,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.49,0.96,4.66坪,坡道平面,"1,630,000元",9.76坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號十樓之２,東都綠學,"1,007",111/11/10,33.79,35.48,64.17,,,十層/十四層,住家用,土1 建1車1,2房2廳1衛,152,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.24,1.2,4.63坪,坡道平面,"1,520,000元",10.18坪,地下一樓
台南市,仁德區,東都綠學,仁德區崇聖路一段６號五樓之２,東都綠學,965,111/11/10,32.33,35.04,65.24,,,五層/十四層,住家用,土1 建1車1,2房2廳1衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.49,0.96,4.66坪,坡道平面,"1,480,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號五樓之７,東都綠學,985,111/11/08,33.39,34.78,63.92,,,五層/十四層,住家用,土1 建1車1,2房2廳1衛,138,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,讓渡日期:113/07/31，讓渡金額:9980000元。預售屋、或土地及建物分件登記案件;,16.21,1.26,4.66坪,坡道平面,"1,380,000元",9.41坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號七樓之９,東都綠學,"1,344",111/11/08,32.64,46.40,64.71,,,七層/十四層,住家用,土1 建1車1,3房2廳2衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.71,1.59,6.69坪,坡道平面,"1,480,000元",9.76坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號十二樓之１,東都綠學,"1,329",111/10/13,33.31,45.36,65.01,,,十二層/十四層,住家用,土1 建1車1,3房2廳2衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,讓渡日期:113/02/05，讓渡金額:13290000元。預售屋、或土地及建物分件登記案件;,23.14,1.48,6.51坪,坡道平面,"1,430,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號十一樓之１,東都綠學,"1,325",111/10/08,33.2,45.01,65.02,,,十一層/十四層,住家用,土1 建1車1,3房2廳2衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.14,1.48,6.51坪,坡道平面,"1,430,000元",9.41坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號六樓之７,東都綠學,975,111/10/03,33.53,35.53,63.96,,,六層/十四層,住家用,土1 建1車1,2房2廳1衛,125,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.21,1.26,4.66坪,坡道平面,"1,250,000元",10.18坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段２號五樓之２,東都綠學,979,111/10/02,32.9,35.02,64.28,,,五層/十四層,住家用,土1 建1車1,2房2廳1衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.24,1.2,4.63坪,坡道平面,"1,480,000元",9.76坪,地下三樓
