city,district,keyword,地段位置或門牌,社區簡稱,總價(萬元),交易日期,單價 (萬元/坪),總面積 (坪),主建物 佔比(%),型態,屋齡,樓別/樓高,主要用途,交易標的,建物格局,車位總價 (萬元),管理組織,電梯,交易/歷次轉移,功能,備註,主建物坪數,陽台坪數,土地移轉面積,車位類別,車位價格,車位面積,所在樓層
台南市,南區,世界好美麗,南區水交社路２０巷３７號,世界好美麗,780,108/07/03,17.13,45.54,69.23,,1,一層/七層,住家用,土2 建1車1,3房1廳2衛,,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,24.11,,4.65坪；3.16坪,坡道平面,,10.72坪,
台南市,南區,世界好美麗,南區水交社路２２號,世界好美麗,927,108/06/18,19.16,51.80,67.63,,1,一層/七層,商業用,土2 建1車1,,140,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,27.78,,3.59坪；5.29坪,坡道平面,"1,400,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路４２號七樓,世界好美麗,732,108/06/17,15.78,49.51,60.49,,1,七層/七層,住家用,土2 建1車1,3房1廳2衛,120,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,23.46,2.53,3.30坪；4.86坪,坡道平面,"1,200,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路４２號二樓,世界好美麗,712,108/06/15,15.21,49.65,60.28,,1,二層/七層,住家用,土2 建1車1,3房1廳2衛,120,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,23.46,2.98,3.38坪；4.97坪,坡道平面,"1,200,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路２０巷４３號,世界好美麗,565,108/06/15,14.07,40.93,67.96,,1,一層/七層,住家用,土2 建1車1,2房1廳1衛,140,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,20.53,,2.73坪；4.02坪,坡道平面,"1,400,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路２０巷５號四樓,世界好美麗,738,108/06/11,14.52,52.60,58.73,,1,四層/七層,住家用,土2 建1車1,3房1廳2衛,130,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,24.59,3.16,3.59坪；5.29坪,坡道平面,"1,300,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路２０巷２７號三樓,世界好美麗,760,108/06/03,14.83,53.19,57.90,,1,三層/七層,住家用,土2 建1車1,3房1廳2衛,130,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,24.59,3.16,3.52坪；5.18坪,坡道平面,"1,300,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路２０巷２７號七樓,世界好美麗,754,108/06/03,14.69,53.19,57.90,,1,七層/七層,住家用,土2 建1車1,3房1廳2衛,130,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,24.59,3.16,3.52坪；5.18坪,坡道平面,"1,300,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路２６號五樓,世界好美麗,728,108/05/27,15.61,49.68,60.22,,1,五層/七層,住家用,土2 建1車1,3房1廳2衛,120,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,23.46,2.53,3.30坪；4.86坪,坡道平面,"1,200,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路４２號三樓,世界好美麗,710,108/05/27,15.34,49.17,60.49,,1,三層/七層,住家用,土2 建1車1,3房1廳2衛,115,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,23.46,2.53,3.30坪；4.86坪,坡道平面,"1,150,000元",10.39坪,
台南市,南區,世界好美麗,南區水交社路２０巷３號,世界好美麗,620,108/05/20,18.76,36.31,66.24,,1,一層/七層,商業用,土2 建1車1,1衛無隔間,140,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,16.95,,2.30坪；3.38坪,坡道平面,"1,400,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路４２號六樓,世界好美麗,714,108/05/20,15.19,49.17,60.49,,1,六層/七層,住家用,土2 建1車1,3房1廳2衛,125,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,23.46,2.53,3.30坪；4.86坪,坡道平面,"1,250,000元",10.39坪,
台南市,南區,世界好美麗,南區水交社路２０巷２５號七樓,世界好美麗,780,108/05/20,15.07,53.19,57.91,,1,七層/七層,住家用,土2 建1車1,3房1廳2衛,140,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,24.59,3.16,3.52坪；5.18坪,坡道平面,"1,400,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路２０巷９號七樓,世界好美麗,560,108/05/20,14.96,40.13,55.82,,1,七層/七層,住家用,土2 建1車1,2房1廳1衛,120,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,16.42,3.22,2.51坪；3.70坪,坡道平面,"1,200,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路２０巷２７號二樓,世界好美麗,746,108/05/20,14.26,53.23,57.85,,1,二層/七層,住家用,土2 建1車1,3房1廳2衛,140,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,24.59,3.16,3.52坪；5.18坪,坡道平面,"1,400,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路２０巷５號五樓,世界好美麗,740,108/05/20,14.81,52.60,58.73,,1,五層/七層,住家用,土2 建1車1,3房1廳2衛,120,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,24.59,3.16,3.59坪；5.29坪,坡道平面,"1,200,000元",10.72坪,
